LocalTimeStamp,PupilLeft,PupilRight,EEG.Cz,EEG.Fz,EEG.Pz
09:47:28.152,2.51,2.78,-5.319746,-2.645581,-12.295184
09:47:28.177,2.74,2.77,-3.249959,-2.637653,-12.770131
09:47:28.202,2.61,2.82,-1.701077,-2.114297,-12.719127
09:47:28.227,2.54,2.8,-4.765212,-2.107448,-0.899978
09:47:28.252,2.61,2.81,-6.804774,-6.201132,-2.434717
09:47:28.277,2.51,2.8,-5.768992,-5.156906,-9.084347
09:47:28.302,2.62,2.84,-12.430556,-2.077318,-9.048064
09:47:28.327,2.61,2.79,3.486187,-2.583401,-8.509151
09:47:28.352,2.22,2.74,1.950091,-2.575658,-9.509291
09:47:28.377,2.57,2.84,0.920656,-2.055631,-8.456177
09:47:28.402,2.7,2.81,0.403027,-1.53665,15.665574
09:47:28.427,2.5,2.67,-14.983187,-9.205908,-6.914972
09:47:28.452,2.59,2.71,-10.332126,-14.295245,-14.574254
09:47:28.477,2.56,2.78,-9.276031,-13.229836,-12.992114
09:47:28.502,2.48,2.8,-8.221565,-13.191212,-3.739837
09:47:28.527,2.59,2.72,-5.631286,-13.139038,-14.501307
09:47:28.552,2.63,2.85,-6.126717,-9.000686,-4.212204
09:47:28.577,2.61,2.86,-2.525275,-8.973198,-4.197018
09:47:28.602,2.59,2.77,2.093063,-8.945792,-5.209568
09:47:28.627,2.57,2.77,1.574993,-8.918469,-12.886261
09:47:28.652,2.68,2.73,-4.541595,-12.467465,-16.415318
09:47:28.677,2.57,2.78,-11.181834,-20.625486,-15.342017
09:47:28.702,2.62,2.69,-14.226781,-20.051876,-15.294498
09:47:28.752,2.52,2.72,-2.395039,-12.243701,-0.871308
09:47:28.777,2.52,2.75,-2.901707,-12.207006,-1.895363
09:47:28.802,2.45,2.74,-9.034554,-12.170422,-12.13789
09:47:28.827,2.61,2.66,-6.954145,-12.133947,-12.101
09:47:28.852,2.6,2.7,-8.985096,-12.097582,-12.064734
09:47:28.877,2.76,2.76,0.758003,-12.049264,-12.016546
09:47:29.102,2.65,2.7,-0.72126,-8.763561,-11.792575
09:47:29.127,2.68,2.74,-5.326282,-8.223963,-11.757233
09:47:29.252,2.63,2.59,12.637616,6.672977,3.183236
09:47:29.302,3.14,2.71,2.345202,5.605372,6.737942
09:47:29.327,3.09,2.68,-8.936185,-3.132962,-1.989434
09:47:29.352,2.63,2.63,-0.210935,4.042072,2.628837
09:47:29.377,2.72,2.61,1.843028,2.496109,7.750189
09:47:29.402,2.53,2.7,4.387976,-0.587707,10.260288
09:47:29.427,2.63,2.7,5.419942,1.97303,9.71723
09:47:29.477,2.99,2.69,0.789494,1.960711,6.071893
09:47:29.502,2.68,2.62,0.777388,1.954834,3.488055
09:47:29.527,2.91,2.69,0.783495,1.947027,-4.70846
09:47:29.552,2.99,2.62,11.028326,1.941191,-4.694349
09:47:29.577,2.53,2.64,1.787059,1.935374,-7.244382
09:47:29.602,2.77,2.64,-4.358301,1.929573,-8.246774
09:47:29.627,2.67,2.69,-0.244477,1.920329,-11.819971
09:47:29.652,2.76,2.74,1.290617,-3.216195,-8.20198
09:47:29.677,2.79,2.68,1.285724,-12.417847,-7.664578
09:47:29.702,2.46,2.7,1.794691,-5.202682,-5.589813
09:47:30.102,2.59,2.63,-0.808059,5.50177,23.63044
09:47:30.252,2.97,2.64,-6.057284,1.886946,25.431221
09:47:30.477,2.28,2.67,-1.556718,9.426903,2.594918
09:47:30.527,2.49,2.67,0.480861,8.851361,-5.61858
09:47:30.627,2.48,2.67,21.425615,20.459713,25.580633
09:47:30.652,2.71,2.68,17.780886,15.789674,23.959869
09:47:30.677,2.65,2.67,-6.351382,8.060298,15.177289
09:47:30.702,2.52,2.76,-6.861055,8.547424,3.353847
09:47:30.727,2.61,2.6,2.364132,8.521808,-2.285953
09:47:30.777,2.43,2.68,-0.191912,8.462334,8.980791
09:47:30.802,2.44,2.63,4.420459,8.436973,14.58311
09:47:30.827,2.62,2.59,6.970801,12.510662,16.592222
09:47:30.852,2.6,2.62,10.016298,11.948897,20.109545
09:47:31.101,2.66,2.67,7.750757,4.038163,9.497272
09:47:31.126,2.72,2.61,13.891623,0.955289,-2.821967
09:47:31.152,2.7,2.59,1.577159,0.952426,3.852131
09:47:31.177,2.66,2.63,11.827285,4.536827,9.997249
09:47:31.202,2.84,2.63,0.017987,4.522718,0.751897
09:47:31.227,2.64,2.6,0.008196,4.508651,-3.86779
09:47:31.276,2.86,2.67,5.647661,4.481667,-0.788664
09:47:31.301,2.51,2.66,8.216866,4.463767,-2.318853
09:47:31.326,2.52,2.64,14.872232,4.450389,-2.311904
09:47:31.351,2.53,2.7,6.631249,4.437051,1.793488
09:47:31.377,2.53,2.66,-2.108622,4.423753,3.328112
09:47:31.401,2.55,2.73,13.254114,8.511008,8.948911
09:47:31.426,2.52,2.75,9.624734,8.477528,5.331113
09:47:31.452,2.51,2.82,6.016394,7.940325,1.217699
09:47:31.477,2.53,2.72,7.546049,7.916528,4.290973
09:47:31.501,2.44,2.8,7.523434,7.892802,6.832477
09:47:31.526,2.5,2.81,10.569798,7.861278,5.272362
09:47:31.552,2.51,2.73,-4.327005,7.837718,8.327845
09:47:31.577,2.57,2.73,4.371616,7.814228,8.302373
09:47:31.601,2.57,2.76,8.449797,8.303629,8.277492
09:47:31.626,2.34,2.8,9.972937,8.270977,12.341356
09:47:31.652,2.58,2.78,8.410736,4.150289,12.304881
09:47:31.677,2.57,2.85,9.413221,7.213748,12.269029
09:47:31.701,2.59,2.73,4.767064,7.703411,4.035846
09:47:31.951,2.61,2.78,10.476361,0.095588,14.935713
09:47:32.101,2.69,2.64,8.414603,5.223698,16.459238
09:47:32.126,2.74,2.73,1.731943,-0.434518,-4.591122
09:47:32.151,2.78,2.73,14.040592,0.078066,-4.06813
09:47:32.226,2.51,2.64,10.41623,0.589086,15.399125
09:47:32.476,2.8,2.78,14.153962,11.157566,7.425908
09:47:32.501,2.79,2.71,3.355131,2.425145,7.91596
09:47:32.577,2.78,2.69,-1.303811,-3.219491,-10.560897
09:47:32.652,2.63,2.63,4.824648,1.403315,5.357769
09:47:32.677,2.71,2.62,2.758909,3.964235,4.319658
09:47:32.726,2.71,2.77,6.826534,3.943067,8.903547
09:47:33.101,2.65,2.58,7.263094,0.978416,3.992498
09:47:33.376,2.72,2.66,-1.621668,0.837602,10.508496
09:47:33.426,2.61,2.68,6.567133,-2.751843,7.898707
09:47:33.751,2.8,2.7,1.730469,1.399113,-7.164642
09:47:33.776,2.65,2.67,9.921695,3.440564,-3.552914
09:47:34.151,2.69,2.64,15.965662,6.907499,14.103923
09:47:34.176,2.65,2.66,14.397762,6.878885,10.979892
09:47:34.201,2.71,2.71,5.149987,4.806475,10.947497
09:47:34.226,2.56,2.65,-1.524423,1.725398,3.225457
09:47:34.251,2.69,2.68,0.522714,2.74228,2.702969
09:47:34.276,2.63,2.67,8.2032,2.732524,1.667689
09:47:34.301,2.61,2.71,9.207847,14.498541,5.251282
09:47:34.326,2.29,2.61,20.466398,12.404319,10.353498
09:47:34.376,2.68,2.67,-0.121831,8.236725,0.020792
09:47:34.551,2.51,2.64,4.944563,7.036463,10.621507
09:47:34.576,2.7,2.63,0.305646,6.495892,10.077366
09:47:34.676,2.73,2.73,9.449264,9.981215,6.91153
09:47:34.701,2.67,2.74,-1.358534,6.874892,-0.286619
09:47:34.726,2.69,2.61,-3.440765,6.326417,-1.309066
09:47:34.751,2.51,2.63,-3.963778,6.306944,-0.793348
09:47:34.776,2.72,2.61,15.521947,6.288042,-0.79097
09:47:34.801,2.64,2.75,10.365676,8.320478,-0.788599
09:47:34.826,2.81,2.73,10.351433,10.331868,-0.78545
09:47:34.851,2.6,2.66,1.471782,-0.945054,3.147547
09:47:34.926,2.7,2.68,4.547234,-0.944109,2.631578
09:47:35.126,2.56,2.67,6.57933,-0.940338,2.621068
09:47:35.151,2.58,2.74,6.055507,-0.93752,2.613213
09:47:35.176,2.5,2.76,11.666719,-0.933263,2.08893
09:47:35.201,2.67,2.7,-2.199017,3.679281,-5.6122
09:47:35.451,2.42,2.75,8.946777,6.03169,12.760599
09:47:35.476,2.56,2.75,8.921501,5.500792,9.1362
09:47:35.501,2.47,2.77,8.886894,9.05934,5.503817
09:47:35.526,2.51,2.74,5.788976,12.104498,6.517062
09:47:35.551,2.52,2.78,4.740348,10.022065,5.98676
09:47:35.576,2.8,2.79,8.310758,9.480233,9.553434
09:47:35.601,2.88,2.71,9.307389,9.451821,4.908906
09:47:35.651,2.61,2.75,22.567034,12.957685,13.574147
09:47:35.676,2.41,2.76,15.322479,13.426033,13.021158
09:47:35.701,2.8,2.79,3.997585,12.873487,7.853929
09:47:35.726,2.54,2.74,3.97291,8.712842,5.265117
09:47:35.751,2.71,2.73,11.126136,12.282623,9.860107
09:47:35.776,2.69,2.76,8.012791,13.270428,8.292095
09:47:35.801,3.05,2.77,12.613384,9.134244,5.708267
09:47:35.826,2.69,2.74,9.519894,9.61007,5.685468
09:47:35.851,2.27,2.81,0.282124,1.386907,5.668429
09:47:35.876,2.48,2.73,-2.796156,5.478138,5.644777
09:47:35.901,2.56,2.76,4.378896,6.486849,13.31504
09:47:35.926,2.43,2.79,8.462183,5.949975,13.78898
09:47:35.951,2.43,2.72,2.292467,5.415438,10.659032
09:47:35.976,2.48,2.76,14.085077,8.47613,5.509133
09:47:36.101,2.37,2.77,6.276975,8.331849,-2.771189
09:47:36.126,2.68,2.84,13.46379,5.235594,14.142248
09:47:36.151,2.6,2.75,5.738312,5.219903,13.590118
09:47:36.176,2.67,2.71,4.687197,2.122132,12.513272
09:47:36.201,2.46,2.76,3.641871,1.604489,12.47577
09:47:36.226,2.43,2.78,6.183269,1.599681,12.43838
09:47:36.251,2.52,2.77,9.23807,1.594886,11.886744
